IATA_CODE,AIRPORT,CITY,STATE,COUNTRY,LATITUDE,LONGITUDE
SEA,Seattle-Tacoma International Airport,Seattle,WA,USA,47.44898,-122.30931
PBI,Palm Beach International Airport,West Palm Beach,FL,USA,26.68316,-80.09559
CLT,Charlotte Douglas International Airport,Charlotte,NC,USA,35.21401,-80.94313
MIA,Miami International Airport,Miami,FL,USA,25.79325,-80.29056
ANC,Ted Stevens Anchorage International Airport,Anchorage,AK,USA,61.17432,-149.99619
MSP,Minneapolis-Saint Paul International Airport,Minneapolis,MN,USA,44.88055,-93.21692
CLT,Charlotte Douglas International Airport,Charlotte,NC,USA,35.21401,-80.94313
DFW,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,USA,32.89595,-97.03720
